point,1.1,1.2,2.1,2.2,3.1,3.2
1,1,1,1,0,0,0
2,1,1,1,1,1,1
3,1,0,1,0,1,1
4,0,1,1,1,1,1
5,0,0,0,1,0,0
6,0,1,1,1,0,0
7,1,1,1,1,1,1
8,1,1,1,1,1,1
9,1,1,1,1,1,1
10,0,1,1,0,1,1
11,1,1,1,1,1,1
12,1,1,1,1,1,1
13,1,1,1,1,1,1
14,1,0,0,1,1,1
15,1,1,0,1,1,1
16,1,0,1,0,1,1
17,1,1,1,1,1,1
18,0,1,1,0,0,1
19,1,0,1,1,1,1
20,1,1,1,1,1,1
21,0,1,0,0,0,0
22,1,1,1,1,1,1
23,1,0,1,1,1,0
24,1,1,1,1,1,1
25,1,1,0,0,1,0
26,1,0,1,0,1,1
27,1,1,1,1,0,0
28,0,0,0,0,1,0
29,0,0,0,0,1,1
30,0,0,0,0,1,1
31,1,1,1,1,1,1
